Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Jonnu Smith,NWE,26,TE,16,11,9,40,0,2,44.4,9,4.4,2.5,1
Blake Bell,KAN,30,TE,16,5,4,10,0,4,100.0,3,2.5,0.6,0
Gerald Everett,SEA,27,TE,15,12,3,20,0,2,66.7,13,6.7,1.3,2
George Kittle*,SFO,28,TE,14,14,3,20,0,0,100.0,9,6.7,1.4,2
Tommy Tremble,CAR,21,TE,16,11,3,11,1,1,66.7,7,3.7,0.7,0
Travis Kelce*,KAN,32,TE,16,16,2,3,1,1,50.0,4,1.5,0.2,1
Durham Smythe,MIA,26,TE,17,12,2,3,0,2,100.0,2,1.5,0.2,0
Jordan Akins,HOU,29,TE,13,3,1,3,0,1,100.0,3,3.0,0.2,2
Mark Andrews*+,BAL,26,TE,17,9,1,0,0,0,0.0,0,0.0,0.0,1
Eric Ebron,PIT,28,TE,8,3,1,1,1,1,100.0,1,1.0,0.1,0
Evan Engram,NYG,27,TE,15,12,1,-3,0,0,0.0,-3,-3.0,-0.2,1
Zach Ertz,2TM,31,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0
Cole Kmet,CHI,22,TE,17,17,1,0,0,0,0.0,0,0.0,0.0,0
David Njoku,CLE,25,TE,16,11,1,1,0,0,0.0,1,1.0,0.1,0
